task id,run #,individual,ensemble_70
359974,11,0.822109772897389,0.8221140435543787
359960,18,0.999818773778248,0.99992634692799
168784,11,0.9743694697240632,0.9746228303673474
359975,15,0.9979436152570482,0.99787728026534
146820,4,0.985996808867988,0.9865426603963724
359960,20,0.9999659273220866,1.0
359958,5,0.9453125,0.9475911458333331
359962,19,0.8403792286145227,0.8570135746606334
359974,8,0.7593802598049458,0.8353685686780687
359958,6,0.949978298611111,0.9473741319444444
168784,10,0.9715797901308888,0.973385162594606
168784,13,0.9579438854310948,0.9614722367202908
359955,14,0.7948343079922028,0.7909356725146199
359960,6,1.0,1.0
190137,1,0.9366447368421053,0.9375657894736842
190137,11,0.9457236842105264,0.9461842105263158
359962,1,0.8577246283128637,0.8596207713854773
359955,5,0.7523148148148149,0.7493908382066277
146820,19,0.9979005710446758,0.9899647295935506
359975,16,0.98514096185738,0.9899834162520732
359975,18,0.998407960199005,0.9965505804311776
190411,9,0.8951254045307444,0.8999097585262634
2073,6,0.9008025902260298,0.9136389959758642
168784,14,0.9657292819514068,0.9667759091574232
146820,15,0.998257473967081,0.9984884111521666
359968,6,0.938870036905853,0.941363452472362
359974,10,0.8674502375663133,0.7727718121363323
359955,8,0.7608430799220272,0.7657163742690057
359975,4,0.9924378109452736,0.9887893864013266
2073,2,0.8642125594630651,0.8905844610278264
359955,18,0.75,0.7777777777777778
2073,18,0.8719323103272139,0.8809377821716444
168784,3,0.961850221961908,0.9663138833944342
359968,17,0.927657923199498,0.9284092504066248
359958,13,0.9282769097222222,0.9295789930555556
359962,9,0.8151260504201681,0.8224736048265461
146820,18,0.9953182734296272,0.996346993617736
359975,1,0.9734660033167496,0.9783084577114428
359958,15,0.9430881076388888,0.9427625868055556
190137,9,0.9166447368421052,0.941907894736842
190411,4,0.9368270786656708,0.9401916853373165
359962,15,0.8719887955182073,0.8666451195862961
190137,15,0.908815789473684,0.9171710526315788
359962,13,0.8046110751993105,0.8046110751993105
359958,8,0.9572482638888888,0.9571397569444444
359962,17,0.8614953673777203,0.8619909502262443
2073,15,0.8442928979868471,0.8448249790517611
359968,16,0.9293669861871382,0.9326942923901288
