task_id,seed,weighted_ensemble,individual
359975,6,0.9982752902155888,0.9985406301824212
359968,14,0.9351629389278312,0.9275216935410628
146820,3,0.979929459187101,0.9840863285186428
359962,10,0.7939668174962293,0.8117431588019823
359975,9,0.9917081260364844,0.9811608623548922
359968,10,0.9030540212518268,0.8888407268884322
359975,8,0.964311774461028,0.8963847429519072
359955,7,0.7797270955165692,0.7543859649122808
359974,12,0.8718823910181008,0.8655898074476128
359960,13,1.0,1.0
359975,13,0.9921724709784412,0.9917744610281924
359968,0,0.9246856397427324,0.9294578059594284
359955,0,0.6905458089668616,0.6549707602339181
359968,11,0.9408928409250408,0.9285248392077212
359958,8,0.9408637152777778,0.9320746527777778
190411,9,0.905005290017426,0.9047874657704754
2073,4,0.8826665666186324,0.8790227256957058
359975,14,0.9946268656716418,0.9871310116086236
359974,13,0.8402424611568421,0.8205167498089961
190137,2,0.935657894736842,0.9058552631578948
190411,6,0.9292771346776202,0.9325756161314416
190137,20,0.9521052631578948,0.9390460526315788
359962,19,0.8468433527257057,0.8539969834087481
359975,20,0.9878606965174128,0.7666666666666666
359960,18,1.0,0.999987930285328
359958,15,0.94775390625,0.9471028645833334
359974,8,0.8499842529223142,0.8517463621720027
359958,2,0.9459635416666666,0.9422200520833334
359962,13,0.8178194354664943,0.8112691230338289
359960,4,1.0,1.0
359968,4,0.9146459267332128,0.9180516681940902
359955,13,0.7167397660818713,0.7369639376218323
146820,5,0.9976906281491434,0.997480685253611
359962,16,0.8313510019392373,0.8162249515190693
359958,9,0.92578125,0.9008246527777778
359960,1,1.0,1.0
359975,2,0.9893864013266996,0.9181426202321724
359962,9,0.8351432880844645,0.8235078646843352
359975,4,0.9261691542288556,0.9312437810945274
190137,6,0.9250657894736842,0.9392763157894736
359960,10,1.0,1.0
190411,2,0.9149396315658452,0.9178180234005476
359960,9,0.9999702002542912,1.0
2073,8,0.9160242298527336,0.9127307296217712
359958,13,0.9307725694444444,0.9332682291666669
359958,14,0.956488715277778,0.9425998263888888
190137,1,0.935592105263158,0.9166118421052633
146820,14,0.9973127309371852,0.9982154853879746
146820,10,0.9962420221699696,0.9971867651998656
359955,15,0.7451267056530214,0.7453703703703703
