task_id,seed,unweighted_ensemble,weighted_ensemble,individual
359975,12,0.9901960784313726,0.9862745098039216,0.9882352941176472
168757,6,0.7,0.72,0.725
359964,9,0.9670846394984326,0.9670846394984326,0.9592476489028212
359956,10,0.8720379146919431,0.8625592417061612,0.8341232227488151
359972,13,0.935609756097561,0.9453658536585364,0.9453658536585364
359962,6,0.8696682464454977,0.8767772511848341,0.8696682464454977
359958,1,0.9006849315068494,0.910958904109589,0.9143835616438356
359964,19,0.957680250783699,0.9608150470219436,0.9545454545454546
359971,11,0.956128448665762,0.9755766621438264,0.9742198100407056
190146,9,0.788235294117647,0.8352941176470589,0.8705882352941177
190411,15,0.8506024096385543,0.8554216867469879,0.8602409638554217
359971,12,0.9570330167345092,0.9724106739032112,0.9724106739032112
190146,8,0.7823529411764706,0.8411764705882353,0.8411764705882353
168350,18,0.8279370952821462,0.906567992599445,0.912118408880666
359959,1,0.5728813559322034,0.5627118644067797,0.5423728813559322
146820,13,0.9462809917355371,0.9886363636363636,0.9907024793388428
359962,0,0.8625592417061612,0.8649289099526066,0.8744075829383886
190137,12,0.9388560157790928,0.9428007889546351,0.9368836291913216
359957,5,0.9537037037037036,0.9583333333333334,0.9398148148148148
359968,6,0.917,0.968,0.962
359959,10,0.5389830508474577,0.5796610169491525,0.5525423728813559
359962,2,0.8483412322274881,0.8554502369668247,0.8649289099526066
2073,18,0.6296296296296297,0.6464646464646465,0.6464646464646465
359963,18,0.9307359307359307,0.9329004329004328,0.935064935064935
146818,16,0.8695652173913043,0.8768115942028986,0.8623188405797102
359968,17,0.92,0.959,0.956
146820,7,0.9462809917355371,0.9907024793388428,0.9917355371900828
359962,7,0.8601895734597157,0.8696682464454977,0.8459715639810427
359959,2,0.4847457627118644,0.4983050847457627,0.5016949152542373
168784,15,0.7532133676092545,0.8071979434447301,0.8149100257069408
168350,7,0.8251618871415356,0.9296947271045328,0.9361702127659576
359972,4,0.9404878048780488,0.9609756097560976,0.9580487804878048
2073,13,0.622895622895623,0.6363636363636364,0.5959595959595959
359957,3,0.976851851851852,0.9814814814814816,0.9675925925925926
359958,3,0.9212328767123288,0.910958904109589,0.9178082191780822
190411,0,0.8457831325301205,0.8542168674698796,0.8457831325301205
168350,3,0.8233117483811286,0.91581868640148,0.908418131359852
168757,3,0.765,0.765,0.7
359974,16,0.6275510204081632,0.673469387755102,0.6693877551020408
359955,9,0.76,0.78,0.7933333333333333
146818,3,0.8333333333333334,0.8333333333333334,0.8333333333333334
359962,12,0.8625592417061612,0.8696682464454977,0.8720379146919431
359963,13,0.9502164502164502,0.9523809523809524,0.9567099567099568
146820,20,0.9462809917355371,0.9917355371900828,0.9927685950413224
359963,19,0.9437229437229436,0.9415584415584416,0.9372294372294372
168757,10,0.755,0.745,0.74
359972,0,0.944390243902439,0.9580487804878048,0.9619512195121952
168757,0,0.79,0.8,0.785
2073,11,0.5925925925925926,0.5959595959595959,0.6094276094276094
359956,4,0.8388625592417062,0.8578199052132701,0.8530805687203792
168911,0,0.8073701842546064,0.8324958123953099,0.8190954773869347
359962,18,0.8483412322274881,0.8625592417061612,0.8578199052132701
359975,18,0.9950980392156864,0.9941176470588236,0.9941176470588236
146820,12,0.9462809917355371,0.987603305785124,0.9834710743801652
359965,1,0.9828125,0.9953125,0.99375
359975,17,0.9950980392156864,0.9950980392156864,0.9931372549019608
146820,19,0.9462809917355371,0.9886363636363636,0.9865702479338844
168350,11,0.8279370952821462,0.9185938945420906,0.9111933395004626
168911,18,0.8123953098827471,0.8257956448911222,0.8291457286432161
168350,8,0.8075855689176689,0.9204440333024976,0.9250693802035151
168350,15,0.8353376503237743,0.9185938945420906,0.9222941720629048
190146,12,0.7294117647058823,0.8294117647058824,0.8294117647058824
359956,12,0.8909952606635071,0.8767772511848341,0.8767772511848341
359957,13,0.9537037037037036,0.9537037037037036,0.9583333333333334
359965,13,0.984375,0.9984375,0.9984375
2073,7,0.622895622895623,0.6363636363636364,0.5858585858585859
359962,20,0.8649289099526066,0.8815165876777251,0.8791469194312796
190146,7,0.7647058823529411,0.7941176470588235,0.8176470588235294
359972,3,0.9365853658536586,0.9580487804878048,0.9502439024390243
146820,8,0.9462809917355371,0.984504132231405,0.9803719008264464
359956,0,0.8672985781990521,0.8578199052132701,0.8436018957345972
359959,11,0.5694915254237288,0.5864406779661017,0.5796610169491525
359958,7,0.928082191780822,0.9143835616438356,0.910958904109589
359958,17,0.9075342465753424,0.9178082191780822,0.9041095890410958
146820,6,0.9462809917355371,0.9917355371900828,0.9865702479338844
