task id,run #,ensemble_5000,ensemble_70
359958,1,0.910958904109589,0.9075342465753424
2073,3,0.6094276094276094,0.6161616161616161
359956,11,0.8341232227488151,0.8720379146919431
359956,5,0.8767772511848341,0.8672985781990521
168784,11,0.3059125964010283,0.8226221079691517
146820,4,0.9834710743801652,0.9834710743801652
146818,4,0.8768115942028986,0.8768115942028986
146818,18,0.855072463768116,0.8405797101449275
359958,5,0.8972602739726028,0.9075342465753424
146818,9,0.8695652173913043,0.8695652173913043
359958,6,0.910958904109589,0.910958904109589
168784,10,0.7969151670951157,0.8020565552699229
190146,10,0.8588235294117647,0.8647058823529412
168784,13,0.7840616966580977,0.7789203084832905
359959,14,0.5084745762711864,0.5796610169491525
359955,14,0.7533333333333333,0.8133333333333334
190146,6,0.8235294117647058,0.8411764705882353
359959,8,0.5491525423728814,0.5322033898305085
359955,5,0.78,0.8
146820,19,0.9834710743801652,0.9865702479338844
190411,9,0.8530120481927711,0.8506024096385543
2073,6,0.5858585858585859,0.6026936026936027
190146,9,0.8352941176470589,0.8588235294117647
146820,15,0.9896694214876032,0.9896694214876032
359959,19,0.5966101694915255,0.576271186440678
190146,1,0.8705882352941177,0.8529411764705882
359955,8,0.7866666666666666,0.7933333333333333
2073,2,0.5656565656565656,0.5622895622895623
359955,18,0.8133333333333334,0.82
168784,3,0.8020565552699229,0.7917737789203085
359958,13,0.9143835616438356,0.8732876712328768
146820,18,0.9834710743801652,0.9834710743801652
359957,4,0.9629629629629628,0.976851851851852
359958,15,0.9075342465753424,0.9075342465753424
359956,14,0.8815165876777251,0.8720379146919431
190411,4,0.8903614457831325,0.8843373493975903
359958,8,0.9212328767123288,0.8972602739726028
359956,16,0.8625592417061612,0.8578199052132701
359956,1,0.8909952606635071,0.909952606635071
359955,4,0.78,0.7666666666666667
168784,7,0.8586118251928021,0.8431876606683805
146818,5,0.8985507246376812,0.8768115942028986
168784,2,0.7892030848329049,0.781491002570694
359955,1,0.76,0.7866666666666666
168784,12,0.7969151670951157,0.8020565552699229
359959,10,0.5457627118644067,0.5457627118644067
190411,11,0.6759036144578313,0.8506024096385543
146820,0,0.9855371900826446,0.984504132231405
146818,6,0.8913043478260869,0.8768115942028986
146818,7,0.8478260869565217,0.8623188405797102
359959,17,0.4338983050847457,0.5694915254237288
146820,13,0.9865702479338844,0.9886363636363636
359958,18,0.9075342465753424,0.9041095890410958
359959,1,0.5186440677966102,0.5796610169491525
190411,20,0.8626506024096385,0.8578313253012049
190411,19,0.8614457831325302,0.8566265060240964
359956,3,0.8672985781990521,0.8483412322274881
190146,7,0.8411764705882353,0.8352941176470589
190146,19,0.8764705882352941,0.8470588235294118
146818,10,0.8405797101449275,0.855072463768116
146818,20,0.9202898550724636,0.8840579710144928
190146,17,0.8176470588235294,0.8058823529411765
359956,2,0.8388625592417062,0.8578199052132701
190146,5,0.7647058823529411,0.788235294117647
190146,4,0.8117647058823529,0.8352941176470589
359958,16,0.9178082191780822,0.9041095890410958
146820,11,0.9907024793388428,0.9896694214876032
190411,0,0.8433734939759037,0.8493975903614458
359956,7,0.8483412322274881,0.8862559241706162
168784,16,0.7789203084832905,0.8226221079691517
190146,18,0.8470588235294118,0.8470588235294118
359955,15,0.7733333333333333,0.7733333333333333
359955,12,0.7666666666666667,0.7866666666666666
359959,11,0.5254237288135594,0.5728813559322034
2073,0,0.6531986531986532,0.632996632996633
359956,0,0.8388625592417062,0.8483412322274881
168784,1,0.781491002570694,0.794344473007712
190146,15,0.8529411764705882,0.8764705882352941
359959,3,0.4372881355932203,0.5694915254237288
359958,12,0.9246575342465754,0.934931506849315
190411,8,0.8710843373493976,0.8698795180722891
190411,3,0.8783132530120482,0.8722891566265061
168784,8,0.8380462724935732,0.8123393316195373
190146,11,0.7941176470588235,0.8470588235294118
359958,0,0.9006849315068494,0.8972602739726028
359959,6,0.5796610169491525,0.576271186440678
