task id,run #,ensemble_5000,ensemble_70
359975,9,0.9949585406301824,0.9898507462686568
2073,5,0.8751424689539522,0.8874387912299223
359955,19,0.6613060428849903,0.6544834307992202
359968,9,0.9246773833997968,0.9123424070542192
359958,20,0.8802083333333333,0.935112847222222
359974,1,0.8817665210316734,0.911545947284292
359974,19,0.8869869141699874,0.8938054229061112
146820,17,0.9870885119247566,0.994352536110178
168784,5,0.9616168201405052,0.9654038738911116
359968,10,0.8903062277594762,0.8924693896085667
359958,19,0.9293619791666669,0.9479166666666664
168784,9,0.964552875248,0.9725478182646032
359968,4,0.92267109206648,0.9115910798470924
359975,19,0.9962852404643447,0.9938971807628524
2073,16,0.8655875812929678,0.8834007883971017
359974,15,0.7835950548973428,0.8974041121054819
168784,6,0.9570277959701208,0.9703223587802065
146820,2,0.9917702384951292,0.9976906281491434
359955,7,0.766812865497076,0.7763157894736842
190137,2,0.9370394736842104,0.9400657894736842
359955,9,0.6605750487329433,0.7318469785575048
359955,6,0.8126218323586745,0.8118908382066277
2073,20,0.8973542703049618,0.89480877399702
2073,19,0.8441854293616006,0.8659812864541412
2073,4,0.869812497995959,0.8812126648891832
359975,20,0.9809618573797678,0.9866666666666668
190411,2,0.910855426935524,0.9137804953945732
359958,9,0.9243706597222224,0.9390190972222222
359962,5,0.8131652661064426,0.8234001292824823
359960,10,1.0,1.0
359962,0,0.8356604180133592,0.869683257918552
359958,4,0.9673394097222224,0.9699435763888888
359962,8,0.8536091359620771,0.8570135746606334
190411,13,0.934217077420961,0.935625155588748
359955,0,0.689327485380117,0.7056530214424951
359958,17,0.9185112847222222,0.9445529513888888
359974,13,0.8169990491829052,0.7852435768796662
359968,5,0.9191456336330386,0.9217050999430312
190411,12,0.91547641274583,0.9218049850634802
359955,20,0.7658382066276803,0.780458089668616
359975,13,0.9866003316749584,0.9960199004975124
359975,17,0.9844776119402984,0.996882255389718
190411,6,0.9256519168533732,0.929876151356734
359955,17,0.6505847953216375,0.7278265107212476
359974,16,0.8668531009588397,0.8564816246676318
168784,20,0.9627298933301964,0.9617924386895568
359958,3,0.949001736111111,0.9439019097222222
359975,0,0.9806965174129354,0.984212271973466
190411,1,0.9122868434154842,0.9118511949215832
359958,11,0.9420572916666666,0.9481336805555556
359955,3,0.6642300194931774,0.6807992202729045
190411,17,0.9088872292755787,0.924228279810804
146820,20,0.9992442055760832,0.9990132683909976
359968,1,0.9357243702474426,0.9271130045657576
359974,20,0.8350762134461369,0.7689806260388377
146820,7,0.9941635875041988,0.9967458851192476
359955,2,0.7676656920077973,0.792275828460039
146820,16,0.9950243533758818,0.9980685253611018
168784,19,0.9693941825295672,0.9713580938058228
146820,12,0.9958431306684582,0.9959271078266712
359960,16,0.997450472725644,0.9998793028532804
359962,20,0.850032320620556,0.8705882352941177
359955,16,0.807504873294347,0.8332115009746589
146820,6,0.9825747396708095,0.9896288209606988
359958,2,0.9287109375,0.9442274305555556
359958,1,0.9449869791666666,0.9423828125
2073,3,0.8916094851808524,0.896658276658347
